Date,Open,High,Low,Close,Volume,OpenInterest
2021-10-14 11:43:00,0.655,0.6554,0.655,0.6554,1200,0.0
2021-10-14 11:44:00,0.6545,0.6545,0.6545,0.6545,2700,0.0
2021-10-14 11:45:00,0.6545,0.6545,0.6545,0.6545,100,0.0
2021-10-14 11:46:00,0.6542,0.6542,0.6542,0.6542,1050,0.0
2021-10-14 11:47:00,0.6538,0.6539,0.6538,0.6539,1900,0.0
2021-10-14 11:48:00,0.6539,0.6542,0.6539,0.6542,500,0.0
2021-10-14 11:49:00,0.6546,0.655,0.6543,0.655,2000,0.0
2021-10-14 11:50:00,0.6555,0.6555,0.6552,0.6555,4300,0.0
2021-10-14 11:51:00,0.6551,0.6551,0.6551,0.6551,500,0.0
2021-10-14 11:53:00,0.6534,0.6534,0.6534,0.6534,7200,0.0
2021-10-14 11:54:00,0.654,0.654,0.654,0.654,100,0.0
2021-10-14 11:55:00,0.655,0.6551,0.655,0.6551,400,0.0
2021-10-14 11:56:00,0.6557,0.6569,0.6557,0.6569,2600,0.0
2021-10-14 11:57:00,0.6557,0.6557,0.6557,0.6557,200,0.0
2021-10-14 11:59:00,0.6558,0.6558,0.6558,0.6558,136,0.0
2021-10-14 12:03:00,0.6554,0.6554,0.6554,0.6554,417,0.0
2021-10-14 12:04:00,0.6554,0.6554,0.6554,0.6554,1500,0.0
2021-10-14 12:05:00,0.6561,0.6587,0.6561,0.6587,1200,0.0
2021-10-14 12:06:00,0.6584,0.6584,0.6584,0.6584,200,0.0
2021-10-14 12:08:00,0.6591,0.6595,0.6591,0.6595,500,0.0
2021-10-14 12:09:00,0.659,0.659,0.659,0.659,100,0.0
2021-10-14 12:12:00,0.658,0.658,0.658,0.658,200,0.0
2021-10-14 12:13:00,0.6581,0.6581,0.6581,0.6581,900,0.0
2021-10-14 12:14:00,0.6585,0.6585,0.6585,0.6585,700,0.0
2021-10-14 12:15:00,0.6587,0.6587,0.6587,0.6587,500,0.0
2021-10-14 12:16:00,0.6594,0.6594,0.6594,0.6594,1000,0.0
2021-10-14 12:18:00,0.6583,0.6583,0.6583,0.6583,500,0.0
2021-10-14 12:21:00,0.6572,0.6572,0.6572,0.6572,850,0.0
2021-10-14 12:23:00,0.6565,0.6565,0.656,0.656,500,0.0
2021-10-14 12:26:00,0.6563,0.6563,0.6563,0.6563,200,0.0
2021-10-14 12:27:00,0.6552,0.6552,0.6552,0.6552,1000,0.0
2021-10-14 12:28:00,0.6544,0.6544,0.6544,0.6544,400,0.0
2021-10-14 12:29:00,0.6537,0.6538,0.6532,0.6532,8900,0.0
2021-10-14 12:30:00,0.6553,0.6553,0.6553,0.6553,117,0.0
2021-10-14 12:31:00,0.6537,0.654,0.653,0.654,800,0.0
2021-10-14 12:32:00,0.6541,0.6554,0.6541,0.6554,1100,0.0
2021-10-14 12:34:00,0.656,0.6566,0.656,0.6566,1400,0.0
2021-10-14 12:36:00,0.655,0.655,0.655,0.655,100,0.0
2021-10-14 12:37:00,0.6545,0.6546,0.654,0.654,13200,0.0
2021-10-14 12:38:00,0.654,0.655,0.654,0.655,1800,0.0
2021-10-14 12:39:00,0.6552,0.6555,0.6552,0.6555,2800,0.0
2021-10-14 12:40:00,0.656,0.656,0.656,0.656,100,0.0
2021-10-14 12:41:00,0.6562,0.6571,0.6562,0.6571,1800,0.0
2021-10-14 12:42:00,0.6568,0.6568,0.6561,0.6561,800,0.0
2021-10-14 12:44:00,0.6563,0.6563,0.6557,0.6557,2800,0.0
2021-10-14 12:45:00,0.6558,0.6569,0.6558,0.6568,39853,0.0
2021-10-14 12:46:00,0.6572,0.6572,0.6572,0.6572,7100,0.0
2021-10-14 12:47:00,0.6578,0.6578,0.6578,0.6578,200,0.0
