Date,Open,High,Low,Close,Volume,OpenInterest
2021-10-19 10:33:00,19.25,19.25,19.21,19.21,710,0.0
2021-10-19 10:36:00,19.22,19.22,19.215,19.215,265,0.0
2021-10-19 10:37:00,19.205,19.205,19.205,19.205,427,0.0
2021-10-19 10:39:00,19.215,19.215,19.215,19.215,200,0.0
2021-10-19 10:40:00,19.205,19.205,19.185,19.185,200,0.0
2021-10-19 10:41:00,19.185,19.185,19.18,19.185,320,0.0
2021-10-19 10:42:00,19.19,19.205,19.19,19.205,658,0.0
2021-10-19 10:43:00,19.195,19.205,19.195,19.205,410,0.0
2021-10-19 10:44:00,19.24,19.24,19.24,19.24,513,0.0
2021-10-19 10:45:00,19.265,19.28,19.265,19.28,726,0.0
2021-10-19 10:46:00,19.285,19.32,19.28,19.305,1466,0.0
2021-10-19 10:47:00,19.3,19.305,19.3,19.3,900,0.0
2021-10-19 10:48:00,19.305,19.305,19.305,19.305,900,0.0
2021-10-19 10:49:00,19.32,19.32,19.315,19.315,683,0.0
2021-10-19 10:50:00,19.315,19.315,19.25,19.25,1723,0.0
2021-10-19 10:51:00,19.26,19.28,19.26,19.275,2364,0.0
2021-10-19 10:52:00,19.275,19.275,19.27,19.27,700,0.0
2021-10-19 10:53:00,19.275,19.285,19.275,19.275,1539,0.0
2021-10-19 10:54:00,19.275,19.275,19.265,19.265,200,0.0
2021-10-19 10:55:00,19.265,19.3,19.265,19.3,7066,0.0
2021-10-19 10:56:00,19.295,19.305,19.285,19.305,1000,0.0
2021-10-19 10:57:00,19.305,19.305,19.305,19.305,130,0.0
2021-10-19 10:58:00,19.275,19.285,19.275,19.285,570,0.0
2021-10-19 10:59:00,19.285,19.285,19.285,19.285,1230,0.0
2021-10-19 11:00:00,19.28,19.28,19.28,19.28,104,0.0
2021-10-19 11:02:00,19.245,19.25,19.23,19.235,1249,0.0
2021-10-19 11:03:00,19.245,19.245,19.245,19.245,240,0.0
2021-10-19 11:04:00,19.255,19.255,19.255,19.255,110,0.0
2021-10-19 11:05:00,19.26,19.26,19.26,19.26,120,0.0
2021-10-19 11:07:00,19.275,19.275,19.275,19.275,228,0.0
2021-10-19 11:08:00,19.295,19.295,19.295,19.295,100,0.0
2021-10-19 11:09:00,19.285,19.285,19.285,19.285,110,0.0
